A20160	Bad	das	"""-er"			Das Haus ist sehr alt, es hat kein Bad.	bath	The house is very old, it has no bathroom.	[sound:word_A20160.mp3]	[sound:sentence_A20160.mp3]
A20161	Bad	das	"""-er"			Im Winter nehme ich gern ein warmes Bad.	bath	I like to take a warm bath in winter.	[sound:word_A20161.mp3]	[sound:sentence_A20161.mp3]
A20162	baden				badet, hat gebadet	Ich bade nicht so gern, ich dusche lieber.	to bathe	I don't like bathing that much, I prefer showering.	[sound:word_A20162.mp3]	[sound:sentence_A20162.mp3]
A20163	baden				badet, hat gebadet	In diesem See darf man nicht baden.	to bathe	You are not allowed to swim in this lake.	[sound:word_A20163.mp3]	[sound:sentence_A20163.mp3]
A20164	Bahn	die	-en			Wir fahren lieber mit der Bahn als mit dem Bus.	train	We prefer to travel by train rather than by bus.	[sound:word_A20164.mp3]	[sound:sentence_A20164.mp3]
A20165	Bahn	die	-en			Ich nehme die nächste S-Bahn.	train	I take the next S-Bahn.	[sound:word_A20165.mp3]	[sound:sentence_A20165.mp3]
A20166	Bahnhof	der	"""-e"			Entschuldigung, komme ich hier zum Bahnhof?	railway station	Excuse me, am I coming to the station?	[sound:word_A20166.mp3]	[sound:sentence_A20166.mp3]
A20167	Bahnsteig	der	-e			Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.	platform	There are usually many platforms at main stations.	[sound:word_A20167.mp3]	[sound:sentence_A20167.mp3]
A20168	bald					Ich komme bald.	soon	I'll be there soon.	[sound:word_A20168.mp3]	[sound:sentence_A20168.mp3]
A20169	bald					Auf Wiedersehen! Bis bald!	soon	See you soon! See you soon!	[sound:word_A20169.mp3]	[sound:sentence_A20169.mp3]
A20170	Balkon	der	-e			Die Wohnung hat auch einen kleinen Balkon.	balcony	The flat also has a small balcony.	[sound:word_A20170.mp3]	[sound:sentence_A20170.mp3]
A20171	Ball	der	"""-e"			Meine Kinder spielen gern Ball.	ball	My children like to play ball.	[sound:word_A20171.mp3]	[sound:sentence_A20171.mp3]
A20172	Banane	die	-n			Drei Bananen, bitte!	banana	Three bananas, please!	[sound:word_A20172.mp3]	[sound:sentence_A20172.mp3]
A20173	Band	die	-s			Was ist deine Lieblingsband?	(music) band	What is your favourite band?	[sound:word_A20173.mp3]	[sound:sentence_A20173.mp3]
A20174	Band	die	-s			Anton spielt in einer Band.	(music) band	Anton plays in a band.	[sound:word_A20174.mp3]	[sound:sentence_A20174.mp3]
A20175	Bank (Geldinstitut)	die	-en			Bei welcher Bank haben Sie Ihr Konto?	Bank (Money Institution)	Which bank do you have your account with?	[sound:word_A20175.mp3]	[sound:sentence_A20175.mp3]
A20176	Bank (Sitzgelegenheit)	die	"""-e"			Kommt, wir setzen uns auf diese Bank.	Bank (seating)	Come on, let's sit on this bench.	[sound:word_A20176.mp3]	[sound:sentence_A20176.mp3]
A20177	bar					Muss ich bar zahlen oder geht‘s auch mit Karte?	in cash	Do I have to pay in cash or can I pay by card?	[sound:word_A20177.mp3]	[sound:sentence_A20177.mp3]
A20178	Basketball	der	"""-e"			Yannick spielt lieber Basketball als Fußball.	basketball	Yannick prefers playing basketball to football.	[sound:word_A20178.mp3]	[sound:sentence_A20178.mp3]
A20179	basteln				bastelt, hat gebastelt	Die Kinder haben etwas gebastelt.	to tinker / to do handicrafts	The children made something.	[sound:word_A20179.mp3]	[sound:sentence_A20179.mp3]
A20180	Bauch	der	"""-e"			Seit gestern tut mir der Bauch weh.	belly	My stomach has been hurting since yesterday.	[sound:word_A20180.mp3]	[sound:sentence_A20180.mp3]
A20181	bauen				baut, hat gebaut	Unsere Nachbarn bauen ein neues Haus.	to build	Our neighbours are building a new house.	[sound:word_A20181.mp3]	[sound:sentence_A20181.mp3]
A20182	Baum	der	"""-e"			Der Baum ist über hundert Jahre alt.	tree	The tree is over a hundred years old.	[sound:word_A20182.mp3]	[sound:sentence_A20182.mp3]
A20183	Baum	der	"""-e"			Wir haben zwei Apfelbäume im Garten.	tree	We have two apple trees in our garden.	[sound:word_A20183.mp3]	[sound:sentence_A20183.mp3]
A20184	Baustelle	die	-n			Vor unserem Haus ist eine große Baustelle.	Building site / construction site	There is a big building site in front of our house.	[sound:word_A20184.mp3]	[sound:sentence_A20184.mp3]
A20185	beantworten				beantwortet, hat beantwortet	Können Sie meine Frage bitte beantworten?	to answer	Can you please answer my question?	[sound:word_A20185.mp3]	[sound:sentence_A20185.mp3]
A20186	beantworten				beantwortet, hat beantwortet	Hast du die Mail schon beantwortet?	to answer	Have you answered the email yet?	[sound:word_A20186.mp3]	[sound:sentence_A20186.mp3]
A20187	sich bedanken				bedankt, hat bedankt	Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.	to thank so. (for sth.)	Once again, I would like to thank you very much for your help.	[sound:word_A20187.mp3]	[sound:sentence_A20187.mp3]
A20188	bedeuten				bedeutet, hat bedeutet	Was bedeutet das Wort?	mean	What does the word mean?	[sound:word_A20188.mp3]	[sound:sentence_A20188.mp3]
A20189	sich beeilen				beeilt, hat beeilt	Kannst du dich bitte beeilen? Der Bus fährt gleich ab!	to hurry up	Can you please hurry? The bus is about to leave!	[sound:word_A20189.mp3]	[sound:sentence_A20189.mp3]
A20190	beenden				beendet, hat beendet	Du musst deine Ausbildung auf jeden Fall beenden.	to end (sth.) / to finish (sth.) / to break up	You have to finish your training in any case.	[sound:word_A20190.mp3]	[sound:sentence_A20190.mp3]
A20191	beginnen				beginnt, hat begonnen	Das Spiel beginnt um 15.30 Uhr.	begin	The game starts at 3.30 pm.	[sound:word_A20191.mp3]	[sound:sentence_A20191.mp3]
A20192	begründen				begründet, hat begründet	Bitte begründen Sie Ihre Meinung.	justify	Please give reasons for your opinion.	[sound:word_A20192.mp3]	[sound:sentence_A20192.mp3]
A20193	bei			beim=bei dem		Offenbach liegt bei Frankfurt.	at	Offenbach is located near Frankfurt.	[sound:word_A20193.mp3]	[sound:sentence_A20193.mp3]
A20194	bei			beim=bei dem		Ich wohne bei meinen Eltern und arbeite bei Siemens.	at	I live with my parents and work at Siemens.	[sound:word_A20194.mp3]	[sound:sentence_A20194.mp3]
A20195	bei			beim=bei dem		Bei uns ist das anders als hier.	at	It's different here than it is here.	[sound:word_A20195.mp3]	[sound:sentence_A20195.mp3]
A20196	bei			beim=bei dem		Ich möchte euch nicht beim Essen stören.	at	I don't want to disturb you while you're eating.	[sound:word_A20196.mp3]	[sound:sentence_A20196.mp3]
A20197	beide					Wir kommen beide.	both	We are both coming.	[sound:word_A20197.mp3]	[sound:sentence_A20197.mp3]
A20198	beide					Welche Bluse möchten Sie, die rote oder die grüne? - Ich nehme beide.	both	Which blouse would you like, the red or the green one? - I'll take both.	[sound:word_A20198.mp3]	[sound:sentence_A20198.mp3]
A20199	Bein	das	-e			Mein rechtes Bein tut weh.	leg	My right leg hurts.	[sound:word_A20199.mp3]	[sound:sentence_A20199.mp3]
A20200	bekannt					Picasso ist sehr bekannt. Er ist ein bekannter Maler.	known	Picasso is very well known. He is a well-known painter.	[sound:word_A20200.mp3]	[sound:sentence_A20200.mp3]
A20201	Bekannte (männlich)	der	-n			Ein Bekannter von mir heißt Klaus.	male friend / male acquaintance	A friend of mine is called Klaus.	[sound:word_A20201.mp3]	[sound:sentence_A20201.mp3]
A20202	Bekannte (weiblich)	die	-n			Meine Bekannte heißt Anna.	female friend / female acquaintance	My friend's name is Anna.	[sound:word_A20202.mp3]	[sound:sentence_A20202.mp3]
A20203	bekommen				bekommt, hat bekommen	Haben Sie meinen Brief bekommen?	to get	Have you received my letter?	[sound:word_A20203.mp3]	[sound:sentence_A20203.mp3]
A20204	bekommen				bekommt, hat bekommen	Aspirin bekommen Sie in der Apotheke.	to get	Aspirin is available from the pharmacy.	[sound:word_A20204.mp3]	[sound:sentence_A20204.mp3]
A20205	beliebt					Fußball ist bei vielen Menschen beliebt.	popular	Football is popular with many people.	[sound:word_A20205.mp3]	[sound:sentence_A20205.mp3]
A20206	benutzen				benutzt, hat benutzt	Die Aufzüge bitte nicht benutzen!	to use	Please do not use the lifts!	[sound:word_A20206.mp3]	[sound:sentence_A20206.mp3]
A20207	bequem					Das Sofa ist sehr bequem.	comfortable	The sofa is very comfortable.	[sound:word_A20207.mp3]	[sound:sentence_A20207.mp3]
A20208	bequem					Meine Kinder ziehen am liebsten bequeme Schuhe an.	comfortable	My children prefer to wear comfortable shoes.	[sound:word_A20208.mp3]	[sound:sentence_A20208.mp3]
A20209	beraten				berät, hat beraten	Unsere Sekretärin berät Sie gern, wenn Sie Fragen haben.	to advise	Our secretary will be happy to advise you if you have any questions.	[sound:word_A20209.mp3]	[sound:sentence_A20209.mp3]
A20210	Berg	der	-e			Die Zugspitze ist der höchste Berg in Deutschland.	mountain	The Zugspitze is the highest mountain in Germany.	[sound:word_A20210.mp3]	[sound:sentence_A20210.mp3]
A20211	Berg	der	-e			Wir fahren am Wochenende in die Berge.	mountain	We're going to the mountains at the weekend.	[sound:word_A20211.mp3]	[sound:sentence_A20211.mp3]
A20212	berichten				berichtet, hat berichtet	Alle Zeitungen berichten von dem Unfall.	to report	All the newspapers report on the accident.	[sound:word_A20212.mp3]	[sound:sentence_A20212.mp3]
A20213	Beruf	der	-e			Was bist du von Beruf?	job	What is your profession?	[sound:word_A20213.mp3]	[sound:sentence_A20213.mp3]
A20214	berühmt					Thomas Müller ist ein berühmter Fußballspieler.	famous	Thomas Müller is a famous footballer.	[sound:word_A20214.mp3]	[sound:sentence_A20214.mp3]
A20215	Bescheid	der	-e	bekommen, geben, sagen		Kann Lisa in Heidelberg studieren? - Sie weiß es noch nicht. Sie bekommt erst nächste Woche Bescheid.	answer / decision / information	Can Lisa study in Heidelberg? - She doesn't know yet. She won't be told until next week.	[sound:word_A20215.mp3]	[sound:sentence_A20215.mp3]
A20216	Bescheid	der	-e	bekommen, geben, sagen		Kannst du mir bis morgen Bescheid geben?	answer / decision / information	Can you let me know by tomorrow?	[sound:word_A20216.mp3]	[sound:sentence_A20216.mp3]
A20217	Bescheid	der	-e	bekommen, geben, sagen		Ich frage Herrn Maier und sage Ihnen dann Bescheid.	answer / decision / information	I'll ask Mr Maier and then let you know.	[sound:word_A20217.mp3]	[sound:sentence_A20217.mp3]
A20218	beschreiben				beschreibt, hat beschrieben	Kannst du mir den Weg zum Bahnhof beschreiben?	to describe	Can you tell me the way to the railway station?	[sound:word_A20218.mp3]	[sound:sentence_A20218.mp3]
A20219	sich beschweren				beschwert, hat beschwert	Hier ist es zu laut, wo können wir uns beschweren?	to complain	It's too loud here, where can we complain?	[sound:word_A20219.mp3]	[sound:sentence_A20219.mp3]
A20220	sich beschweren				beschwert, hat beschwert	Mein Nachbar beschwert sich immer über unsere Kinder, wenn sie im Garten spielen.	to complain	My neighbour always complains about our children when they play in the garden.	[sound:word_A20220.mp3]	[sound:sentence_A20220.mp3]
A20221	besetzt					Ist dieser Platz frei? - Nein, er ist besetzt.	occupied	Is this seat free? - No, it is occupied.	[sound:word_A20221.mp3]	[sound:sentence_A20221.mp3]
A20222	besetzt					Die Nummer ist immer besetzt.	occupied	The number is always busy.	[sound:word_A20222.mp3]	[sound:sentence_A20222.mp3]
A20223	besichtigen				besichtigt, hat besichtigt	Ich möchte gern das Schloss besichtigen.	to visit	I would like to visit the castle.	[sound:word_A20223.mp3]	[sound:sentence_A20223.mp3]
A20224	besichtigen				besichtigt, hat besichtigt	Sie können die Wohnung am Mittwochabend besichtigen.	to visit	You can view the flat on Wednesday evening.	[sound:word_A20224.mp3]	[sound:sentence_A20224.mp3]
A20225	besonders					Dieses Angebot ist besonders günstig.	especially	This offer is particularly favourable.	[sound:word_A20225.mp3]	[sound:sentence_A20225.mp3]
A20226	besonders					Hier ist die Pizza besonders gut.	especially	The pizza here is particularly good.	[sound:word_A20226.mp3]	[sound:sentence_A20226.mp3]
A20227	besonders					Wie geht's? - Nicht besonders.	especially	How's it going? - Not particularly.	[sound:word_A20227.mp3]	[sound:sentence_A20227.mp3]
A20228	bestätigen				bestätigt, hat bestätigt	Ich kann bestätigen, dass er hier war.	to confirm	I can confirm that he was here.	[sound:word_A20228.mp3]	[sound:sentence_A20228.mp3]
A20229	bestehen				besteht, hat bestanden	Ich habe die Prüfung bestanden!	consist	I passed the exam!	[sound:word_A20229.mp3]	[sound:sentence_A20229.mp3]
A20230	bestehen				besteht, hat bestanden	Die Prüfung besteht aus vier Teilen: Hören, Lesen, Schreiben und Sprechen.	consist	The exam consists of four parts: Listening, reading, writing and speaking.	[sound:word_A20230.mp3]	[sound:sentence_A20230.mp3]
A20231	bestellen				bestellt, hat bestellt	Wir möchten bitte bestellen.	to order	We would like to order please.	[sound:word_A20231.mp3]	[sound:sentence_A20231.mp3]
A20232	bestellen				bestellt, hat bestellt	Dieses Buch haben wir nicht da. Sollen wir es für Sie bestellen?	to order	We don't have this book. Would you like us to order it for you?	[sound:word_A20232.mp3]	[sound:sentence_A20232.mp3]
A20233	Besuch	der	-e			Wir bekommen am Wochenende Besuch.	visit	We're having visitors at the weekend.	[sound:word_A20233.mp3]	[sound:sentence_A20233.mp3]
A20234	Besuch	der	-e			Ich mache einen Besuch im Krankenhaus.	visit	I pay a visit to the hospital.	[sound:word_A20234.mp3]	[sound:sentence_A20234.mp3]
A20235	besuchen				besucht, hat besucht	Darf ich dich mal besuchen?	to visit	Can I pay you a visit?	[sound:word_A20235.mp3]	[sound:sentence_A20235.mp3]
A20236	besuchen				besucht, hat besucht	Möchtest du mich in den Ferien besuchen?	to visit	Would you like to visit me during the holidays?	[sound:word_A20236.mp3]	[sound:sentence_A20236.mp3]
A20237	Bett	das	-en			Sie ist krank und muss heute im Bett bleiben.	bed	She is ill and has to stay in bed today.	[sound:word_A20237.mp3]	[sound:sentence_A20237.mp3]
A20238	sich bewerben				bewirbt, hat beworben	Ich möchte mich um diese Stelle bewerben.	to make an application / to apply for sth.	I would like to apply for this position.	[sound:word_A20238.mp3]	[sound:sentence_A20238.mp3]
A20239	Bewerbung	die	-en			Kannst du mir bei meiner Bewerbung helfen?	application / canditature	Can you help me with my application?	[sound:word_A20239.mp3]	[sound:sentence_A20239.mp3]
A20240	bewölkt					Heute ist es bewölkt.	cloudy	It's cloudy today.	[sound:word_A20240.mp3]	[sound:sentence_A20240.mp3]
A20241	Wolke	die	-n			Heute gibt es viele Wolken.	cloud	There are lots of clouds today.	[sound:word_A20241.mp3]	[sound:sentence_A20241.mp3]
A20242	Wolke	die	-n			Es gibt viele Wolken am Himmel.	cloud	There are lots of clouds in the sky.	[sound:word_A20242.mp3]	[sound:sentence_A20242.mp3]
A20243	bezahlen				bezahlt, hat bezahlt	Wo kann ich bezahlen?	to pay	Where can I pay?	[sound:word_A20243.mp3]	[sound:sentence_A20243.mp3]
A20244	Bibliothek	die	-en			Sie lernt jeden Tag in der Bibliothek.	library	She studies in the library every day.	[sound:word_A20244.mp3]	[sound:sentence_A20244.mp3]
A20245	Bier	das	-e			Noch ein Bier, bitte.	beer	Another beer, please.	[sound:word_A20245.mp3]	[sound:sentence_A20245.mp3]
A20246	Bild	das	-er			Hast du ein Bild von deinem Sohn?	image	Do you have a picture of your son?	[sound:word_A20246.mp3]	[sound:sentence_A20246.mp3]
A20247	billig					Das Wörterbuch kostet nur fünf Euro. - Fünf Euro? Das ist aber billig!	cheap	The dictionary only costs five euros. - Five euros? That's cheap!	[sound:word_A20247.mp3]	[sound:sentence_A20247.mp3]
A20248	Birne	die	-n			Ein Kilo Birnen, bitte!	pear	A kilo of pears, please!	[sound:word_A20248.mp3]	[sound:sentence_A20248.mp3]
A20249	bis					Ich fahre nur bis Stuttgart.	to	I only drive as far as Stuttgart.	[sound:word_A20249.mp3]	[sound:sentence_A20249.mp3]
A20250	bis					Ich warte bis Freitag.	to	I'll wait until Friday.	[sound:word_A20250.mp3]	[sound:sentence_A20250.mp3]
A20251	bis					Tschüss, bis gleich!	to	Bye, see you soon!	[sound:word_A20251.mp3]	[sound:sentence_A20251.mp3]
A20252	bisschen					Können Sie bitte ein bisschen lauter sprechen?	little	Can you please speak a little louder?	[sound:word_A20252.mp3]	[sound:sentence_A20252.mp3]
A20253	bisschen					Ich spreche ein bisschen Französisch.	little	I speak a little French.	[sound:word_A20253.mp3]	[sound:sentence_A20253.mp3]
A20254	bisschen					Möchten Sie noch ein bisschen Salat?	little	Would you like some more salad?	[sound:word_A20254.mp3]	[sound:sentence_A20254.mp3]
A20255	bitte					Eine Tasse Kaffee bitte! - Bitte schön!	to request (sth.) / to beg for (sth.)	A cup of coffee please! - Here you go!	[sound:word_A20255.mp3]	[sound:sentence_A20255.mp3]
A20256	bitte					Wie bitte? Sprechen Sie bitte ein bisschen lauter!	to request (sth.) / to beg for (sth.)	Excuse me? Please speak a little louder!	[sound:word_A20256.mp3]	[sound:sentence_A20256.mp3]
A20257	Bitte	die	-n			Ich habe noch eine Bitte.	Request / Appeal / You're welcome	I have one more request.	[sound:word_A20257.mp3]	[sound:sentence_A20257.mp3]
A20258	bitten				bittet, hat gebeten	Darf ich Sie um etwas bitten?	to ask for (sth.)	May I ask you for something?	[sound:word_A20258.mp3]	[sound:sentence_A20258.mp3]
A20259	bitter					Kaffee ohne Zucker schmeckt bitter.	bitter	Coffee without sugar tastes bitter.	[sound:word_A20259.mp3]	[sound:sentence_A20259.mp3]
